area-de-gasto,area-de-gasto1,politica-de-gasto,politica-de-gasto1,grupo-de-programas,grupo-de-programas1,programa,denominacion
1,1,,,,,,SERVICIOS PÚBLICOS BÁSICOS.
1,,13,13,,,,Seguridad y movilidad ciudadana.
,,13,,130,130,,Administración general de la seguridad y protección civil.
,,13,,132,132,,Seguridad y Orden Público.
,,13,,133,133,,Ordenación del tráfico y del estacionamiento
,,13,,134,134,,Movilidad urbana.
,,13,,135,135,,Protección civil.
,,13,,136,136,,Servicio de prevención y extinción de incendios.
1,,15,15,,,,Vivienda y urbanismo.
,,15,,150,150,,Administración General de Vivienda y urbanismo.
,,15,,151,151,,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística."
,,15,,152,152,,Vivienda.
,,,,152,,1521,Promoción y gestión de vivienda de protección pública.
,,,,152,,1522,Conservación y rehabilitación de la edificación.
,,15,,153,153,,Vías públicas.
,,,,153,,1531,Acceso a los núcleos de población.
,,,,153,,1532,Pavimentación de vías públicas.
1,,16,16,,,,Bienestar comunitario.
,,16,,160,160,,Alcantarillado.
,,16,,161,161,,Abastecimiento domiciliario de agua potable.
,,16,,162,162,,"Recogida, gestión y tratamiento de residuos."
,,,,162,,1621,Recogida de residuos.
,,,,162,,1622,Gestión de residuos sólidos urbanos.
,,,,162,,1623,Tratamiento de residuos.
,,,,162,,,Limpieza viaria.
,,,,162,,,Cementerio y servicios funerarios.
,,,,162,,,Alumbrado público.
1,,17,17,,,,Medio ambiente.
,,17,,170,170,,Administración general del medio ambiente.
,,17,,171,171,,Parques y jardines.
,,17,,172,172,,Protección y mejora del medio ambiente.
,,,,172,,1721,"Protección contra la contaminación acústica, lumínica y atmosférica en las zonas urbanas."
2,2,,,,,,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL.
2,,21,21,,,,Pensiones.
,,21,,211,211,,Pensiones.
2,,22,22,,,,Otras prestaciones económicas a favor de empleados.
,,22,,221,221,,Otras prestaciones económicas a favor de empleados.
2,,23,23,,,,Servicios Sociales y promoción social.
,,23,,231,231,,Asistencia social primaria.
2,,24,24,,,,Fomento del Empleo.
,,24,,241,241,,Fomento del Empleo.
3,3,,,,,,PRODUCCIÓN DE BIENES PÚBLICOS DE CARÁCTER PREFERENTE.
,,31,31,,,,Sanidad.
,,31,,311,311,,Protección de la salubridad pública.
,,31,,312,312,,"Hospitales, servicios asistenciales y centros de salud."
3,,32,32,,,,Educación.
,,32,,320,320,,Administración general de educación.
,,32,,321,321,,Creación de Centros docentes de enseñanza preescolar y primaria.
,,32,,322,322,,Creación de Centros docentes de enseñanza secundaria.
,,32,,323,323,,Funcionamiento de centros docentes de enseñanza preescolar y primaria y educación especial.
,,32,,324,324,,Funcionamiento de centros docentes de enseñanza secundaria.
,,32,,325,325,,Vigilancia del cumplimiento de la escolaridad obligatoria.
,,32,,326,326,,Servicios complementarios de educación
,,32,,327,327,,Fomento de la convivencia ciudadana.
3,,33,33,,,,Cultura.
,,33,,330,330,,Administración general de cultura.
,,33,,332,332,,Bibliotecas y Archivos.
,,,,332,,3321,Bibliotecas públicas.
,,,,332,,3322,Archivos.
,,33,,333,333,,Equipamientos culturales y museos.
,,33,,334,334,,Promoción cultural.
,,33,,336,336,,Protección y gestión del Patrimonio Histórico-Artístico.
,,33,,337,337,,Instalaciones de ocupación del tiempo libre
,,33,,338,338,,Fiestas populares y festejos.
3,,34,34,,,,Deporte.
,,34,,340,340,,Administración general de deportes.
,,34,,341,341,,Promoción y fomento del deporte.
,,34,,342,342,,Instalaciones deportivas.
4,4,,,,,,ACTUACIONES DE CARÁCTER ECONÓMICO.
4,,41,41,,,,"Agricultura, Ganadería y Pesca."
,,41,,410,410,,"Administración general de agricultura, ganadería y pesca."
,,41,,412,412,,Mejora de las estructuras agropecuarias y de los sistemas productivos.
,,41,,414,414,,Desarrollo rural.
,,41,,415,415,,Protección y desarrollo de los recursos pesqueros.
,,41,,419,419,,"Otras actuaciones en agricultura, ganadería y pesca."
4,,42,42,,,,Industria y energía.
,,42,,420,420,,Administración General de Industria y energía.
,,42,,422,422,,Industria.
,,42,,423,423,,Minería.
,,42,,425,425,,Energía.
4,,43,43,,,,"Comercio, turismo y pequeñas y medianas empresas."
,,43,,430,430,,"Administración general de comercio, turismo y pequeñas y medianas empresas."
,,43,,431,431,,Comercio.
,,,,431,,4311,Ferias.
,,,,431,,4312,"Mercados, abastos y lonjas."
,,,,431,,4313,Comercio ambulante.
,,43,,432,432,,Información y promoción turística.
,,43,,433,433,,Desarrollo empresarial.
,,43,,439,439,,Otras actuaciones sectoriales.
4,,44,44,,,,Transporte público.
,,44,,440,440,,Administración general del transporte.
,,44,,441,441,,Transporte de viajeros.
,,,,441,,4411,Transporte colectivo urbano de viajeros.
,,,,441,,4412,Otro transporte de viajeros.
,,44,,442,442,,Infraestructuras del transporte.
,,44,,443,443,,Transporte de mercancías.
4,,45,45,,,,Infraestructuras.
,,45,,450,450,,Administración general de infraestructuras.
,,45,,452,452,,Recursos Hidráulicos.
,,45,,453,453,,Carreteras.
,,45,,454,454,,Caminos vecinales.
,,45,,459,459,,Otras infraestructuras.
4,,46,46,,,,"Investigación, desarrollo e innovación."
,,46,,462,462,,Investigación y estudios relacionados con los servicios públicos.
,,46,,463,463,,"Investigación científica, técnica y aplicada."
4,,49,49,,,,Otras actuaciones de carácter económico.
,,49,,491,491,,Sociedad de la información.
,,49,,492,492,,Gestión del conocimiento.
,,49,,493,493,,Protección de consumidores y usuarios.
9,9,,,,,,ACTUACIONES DE CARÁCTER GENERAL.
9,,91,91,,,,Órganos de gobierno.
,,91,,912,912,,Órganos de gobierno.
9,,92,92,,,,Servicios de carácter general.
,,92,,920,920,,Administración General.
,,92,,922,922,,Coordinación y organización institucional de las entidades locales.
,,92,,923,923,,Información básica y estadística.
,,,,923,,9231,Gestión del Padrón Municipal de Habitantes.
,,92,,924,924,,Participación ciudadana.
,,92,,925,925,,Atención a los ciudadanos.
,,92,,926,926,,Comunicaciones internas.
,,92,,929,929,,"Imprevistos, situaciones transitorias y contingencias de ejecución."
9,,93,93,,,,Administración financiera y tributaria.
,,93,,931,931,,Política económica y fiscal.
,,93,,932,932,,Gestión del sistema tributario.
,,93,,933,933,,Gestión del patrimonio.
,,93,,934,934,,Gestión de la deuda y de la tesorería.
9,,94,94,,,,Transferencias a otras Administraciones Públicas.
,,94,,941,941,,Transferencias a Comunidades Autónomas.
,,94,,942,942,,Transferencias a Entidades Locales territoriales.
,,94,,943,943,,Transferencias a otras Entidades Locales.
,,94,,944,944,,Transferencias a la Administración General del Estado.
0,0,,,,,,DEUDA PÚBLICA.
0,,01,01,,,,Deuda Pública.
,,01,,011,011,,Deuda Pública.